Stim,Trigger,N,Intensity Increment,First Step Intensity,Step Length,Inter-step Length,Inter-step Intensity,Inter-Stimulus Length,Inter-Stimulus Intensity
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
5.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
15.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
0.0,0.0,10,10,-15,100,200,0,1000,0
